startTime=[2020-6-4 13:56:54:401] cbRatio=1.2 reelRatio=1.6 pfRatio=4.44 fhRatio=3.94
format:time carvl carvw cbv cbvNew cbI reelv reelvNew reelI pfv pfvNew pfI fhv fhvNew fhI
[2020-6-4 13:56:54:401] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:420] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:439] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:458] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:477] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:496] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:514] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:533] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:552] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:570] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:589] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:608] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:626] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:645] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:664] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:683] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:702] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:721] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:740] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:760] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:778] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:797] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:817] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:836] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:855] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:874] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:892] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:912] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:931] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:950] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:969] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:54:988] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:55:7] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:55:26] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:55:45] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 13:56:55:65] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
