startTime=[2020-6-4 16:54:4:783] cbRatio=1.2 reelRatio=1.6 pfRatio=4.44 fhRatio=3.94
format:time carvl carvw cbv cbvNew cbI reelv reelvNew reelI pfv pfvNew pfI fhv fhvNew fhI
[2020-6-4 16:54:4:783] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:5:606] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:6:429] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:7:252] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:8:75] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:8:898] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:9:721] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:10:544] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:11:367] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:12:189] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:13:10] 2.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 16:54:13:832] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:14:654] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:15:476] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:16:298] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:17:120] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:17:942] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:18:764] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:19:586] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:20:408] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:21:231] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:22:53] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:22:875] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:23:698] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:24:520] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:25:342] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:26:164] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:26:986] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:27:808] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:28:631] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
[2020-6-4 16:54:29:454] 2.000 0.000 0 2335 0.000 0 3000 0.000 0 2805 0.000 0 3000 0.000
