startTime=[2020-6-4 14:47:50:525] cbRatio=1.2 reelRatio=1.6 pfRatio=4.44 fhRatio=3.94
format:time carvl carvw cbv cbvNew cbI reelv reelvNew reelI pfv pfvNew pfI fhv fhvNew fhI
[2020-6-4 14:47:50:526] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:51:246] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:51:967] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:52:686] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:53:406] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:54:126] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:54:846] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:55:565] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:56:285] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:57:5] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:57:725] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:58:445] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:59:165] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:47:59:885] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:48:0:605] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:48:1:325] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:48:2:44] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:48:2:764] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:48:3:484] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:48:4:205] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:48:4:925] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
[2020-6-4 14:48:5:646] 0.000 0.000 0 656 0.000 0 787 0.000 0 787 0.000 0 909 0.000
